branch,file,function_addr,input_semantic,score,confidence,mask_constants,xdata_refs,paired_input_pattern,event_path,packet_export_path,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x497F,unknown_input_logic,0.250,hypothesis,unknown,unknown,unknown,0x497F,unknown,shifted DKS role analog; command-string evidence absent in current extraction
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x497F,unknown_input_logic,0.250,hypothesis,unknown,unknown,unknown,0x80EC,unknown,paired v2_1 branch with same role-level pattern
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,digital_input_scan,0.650,probable,unknown,unknown,unknown,0x6833,unknown,mirrors 90CYE03_19_DKS profile
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,unknown_input_logic,0.250,hypothesis,unknown,unknown,unknown,0x80EC,unknown,paired v2_1 branch with same role-level pattern
90CYE_DKS,90CYE04_19_DKS.PZU,0x497A,digital_input_scan,0.650,probable,unknown,unknown,unknown,0x6833,unknown,mirrors 90CYE03_19_DKS profile
A03_A04,A03_26.PZU,0x497A,unknown_input_logic,0.250,hypothesis,unknown,unknown,unknown,0x497A,unknown,A04 role alignment from runtime_branch_comparison
A03_A04,A04_28.PZU,0x497A,unknown_input_logic,0.250,hypothesis,unknown,unknown,unknown,0x497A,unknown,A04 role alignment from runtime_branch_comparison
RTOS_service,ppkp2001 90cye01.PZU,0x9F50,digital_input_scan,0.650,probable,unknown,unknown,unknown,0x9826,unknown,string cluster confirmed in string_index; role alignment to 2001 image remains inference
RTOS_service,ppkp2012 a01.PZU,0x9F50,digital_input_scan,0.650,probable,unknown,unknown,unknown,0x9826,unknown,string cluster confirmed in string_index; role alignment to 2001 image remains inference
RTOS_service,ppkp2019 a02.PZU,0x9F50,digital_input_scan,0.650,probable,unknown,unknown,unknown,0x9826,unknown,string cluster confirmed in string_index; role alignment to 2001 image remains inference
