branch,module_type,function_addr,handler_role,xdata_read_count,xdata_write_count,loop_indicator,arithmetic_indicator,string_refs,evidence_confidence,notes
A03_A04,МАШ (address loop),0x497A,main dispatcher + poll scheduler,17,8,high,medium,yes,вероятно,"Совпадает с top runtime/packet candidate; цепочки 0x497A->0xA900->0x800B; интеграция с event_queue_candidate и packet_export_candidate"
A03_A04,МАШ (address loop),0x800B,module scan worker / table-driven path,7,0,high,low,yes,гипотеза,"Высокий MOVC и loop_score в mash candidates; вероятный обработчик подтипа модуля"
A03_A04,МАШ (address loop),0x8904,state update + event writeback,15,2,medium,medium,no,вероятно,"Участвует в A03/A04 packet neighborhood; близко к xdata-кластеру очередей 0x3292..0x329C"
A03_A04,МАС (analog),0x722E,analog/state compare worker,34,10,medium,high,yes,гипотеза,"Top reader/writer candidate ветки; признаков прямой строки 'МАС' нет, связь по структуре compare+event"
A03_A04,Другие (service/UI),0x6C07,packet builder entrypoint,5,0,low,medium,yes,вероятно,"Кандидат packet_builders в runtime-role сводке; использует packet window 0x4EAB..0x5003"
90CYE_DKS,МАШ (address loop),0x497A,main dispatcher + poll scheduler,31,15,high,medium,yes,вероятно,"Стабилен в 03/04 DKS; top runtime/packet/xdata writer candidate"
90CYE_DKS,МАШ (address loop),0x737C,address-loop sub-dispatch + writes,11,6,high,medium,yes,вероятно,"В mash evidence как polling/LED candidate и в call hubs"
90CYE_DKS,МАШ (address loop),0x84A6,outer scan loop dispatcher,8,0,high,low,no,гипотеза,"Высокий call_hub_score; вероятный цикл по адресам/подгруппам"
90CYE_DKS,МАС (analog),0x613C,measurement/state comparator,24,8,medium,high,no,гипотеза,"Top packet/service worker с высоким read/write; вероятный аналоговый/пороговый путь"
90CYE_DKS,Другие (service/UI),0x5A7F,packet buffer writer,6,4,low,medium,no,подтверждено,"Подтверждён как pointer-arg sink для packet_buffer (0x31BF/0x364B/0x3165) в runtime_role_candidates"
90CYE_v2_1,МАШ (address loop),0x497F,main dispatcher + poll scheduler,34,11,high,medium,yes,вероятно,"Аналог 0x497A в других ветках; top runtime/pipeline candidate"
90CYE_v2_1,МАШ (address loop),0x8BE5,address-loop branch worker,3,0,high,low,no,гипотеза,"Top mash polling candidate; требует ручной трассировки"
90CYE_v2_1,МАС (analog),0x93F9,state/evaluation + event generation,23,6,medium,high,yes,вероятно,"Высокий arithmetic/branch профиль, вероятная оценка аналогового уровня"
90CYE_v2_1,Другие (service/UI),0x72AB,packet builder/service bridge,7,1,low,medium,no,подтверждено,"Фигурирует в packet_builders + packet_buffer pointer args"
90CYE_shifted_DKS,МАШ (address loop),0x497F,main dispatcher + poll scheduler,33,8,high,medium,yes,вероятно,"Смещение адресов относительно DKS, но роль совпадает"
90CYE_shifted_DKS,МАШ (address loop),0x7574,address-loop dispatcher,3,0,high,low,no,гипотеза,"Top polling_loop_candidate; требует deep-dive по call chain"
90CYE_shifted_DKS,МАС (analog),0x774F,state comparator/event writer,15,8,medium,high,no,вероятно,"Высокие read/write и dispatcher profile"
90CYE_shifted_DKS,Другие (service/UI),0x655F,packet/service builder,9,2,low,medium,no,подтверждено,"В runtime_role_candidates как packet_builders/core call hub"
RTOS_service,МАШ (address loop),0x758B,rtos poll scheduler / dispatcher,15,10,high,medium,no,вероятно,"Top mash polling candidate среди ppkp2001/2012/2019 семейства"
RTOS_service,МАШ (address loop),0xA3FD,loop dispatcher with service integration,18,7,high,medium,no,гипотеза,"Высокий loop_like_score, нужна ручная проверка на адресный цикл"
RTOS_service,МАС (analog),0x95B0,rtos packet/event worker for analog-like states,10,5,medium,high,no,гипотеза,"Входит в packet_builders RTOS; возможный тракт пороговых состояний"
RTOS_service,Другие (service/UI),0x92EF,packet builder core,12,6,low,medium,yes,подтверждено,"Стабильный packet_builder по RTOS_service runtime-role и call hub данным"
ALL,Таблица типов модулей,0x72E4 (shifted DKS),type decode via MOVC table,0,0,medium,low,yes,гипотеза,"MOVC-table candidate без текстовых маркеров МАШ/МАС; вероятный selector обработчика"
