unknown_id,area,description,status_after_project_guided_search,needed_evidence,next_static_step,next_doc_step,next_bench_step,status_after_micro_decompile,micro_static_evidence
PU-001,RS-485_format,Frame format and field layout,partial_static_narrowing,manual_decompile + richer packet byte extraction,extend packet-callsite pre/post write tracing around 0x55AD..0x5602,seek protocol field-order appendix,capture frame bytes vs event transitions,final_boundary_blocked_docs_bench,expanded 0x5A7F caller block rows including fixed caller set | final boundary: no overclaim
PU-002,RS-485_addresses,Address map for 90CYE01/02/03/04,unresolved,explicit address constants or decoded frames,trace table roots around 0x920C/0x9255 with pointer provenance,collect address map pages,device-isolated bus address capture,pass3_partial_table_origin_narrowing,0x9275 caller envelope tied to 0x4374/0x920C/0x9255 neighborhood | final boundary: no overclaim
PU-003,RS-485_baudrate,Configured baudrate and framing,unresolved,UART divider constant evidence,continue serial init scan beyond 0x920C chain,commissioning serial settings,measure line timing,final_boundary_blocked_docs_bench,global UART token scan executed; low-confidence hits only | final boundary: no overclaim
PU-004,CRC_checksum,CRC/checksum algorithm details,unresolved,checksum loop or CRC table linkage,tie arithmetic loops to bounded packet buffer,protocol checksum notes,invalid-checksum behavior test,final_boundary_blocked_docs_bench,xor/add/rotate op scan near packet/service neighborhoods | final boundary: no overclaim
PU-005,timeout_retry,Retry and timeout policy,low_confidence_candidate,timer state-machine proof,deep trace around retry-like counters,find operational timing notes,bus fault injection tests,unchanged, | final boundary: no overclaim
PU-006,numeric_enum_codes,Numeric enum values for state terms,partial_static_narrowing,branch-byte extraction + runtime correlation,expand compare-immediate mining near 0x6833/0x737C/0x73FD,project enum/state tables,runtime correlation capture,final_boundary_blocked_docs,0x73FD caller-envelope constants and enum map proximity extracted | final boundary: no overclaim
PU-007,launch_line_supervision,Launch-line resistance/open/short supervision,unresolved,electrical supervision docs/bench,search for open/short branching near launch chain,request electrical supervision section,inject open/short simulations safely,unchanged, | final boundary: no overclaim
PU-008,line_break_short_supervision,Line break/short supervision for CP/CF/CH and control lines,unresolved,line supervision logic proofs,trace CP/CF/CH fault branches,extract full line monitoring sheets,simulate line faults with dummy loads,unchanged, | final boundary: no overclaim
PU-009,launch_pulse_parameters,Exact launch pulse duration/form,unresolved,pulse-width constants,narrow constants tied to countdown decrement endpoint,launch timing requirements,scope pulse width,final_boundary_blocked_docs_bench,downstream candidates from 0x728A/0x7DC2/0x84A6 path trace | final boundary: no overclaim
PU-010,damper_terminal_table,Full damper terminal map,partial_static_narrowing,terminal/object join tables,trace 0x613C/0x673C exits to status writes,terminal/object cross-table,limit-switch channel probes,final_boundary_blocked_docs_bench,0x7773 focused branch envelope with 0x32B3 neighborhood extraction | final boundary: no overclaim
PU-011,goa_terminal_table,Full GOA terminal map,partial_static_narrowing,GOA terminal table and object index,classify post-0x5A7F write targets,output naming/terminal docs,terminal-level output tracing,final_boundary_blocked_docs_bench,0x73FD + 0x5A7F caller-block expansion captured | final boundary: no overclaim
PU-012,MUP_conflict_split,MUP visible in screen evidence but absent in current project pages,split_preserved,additional project sheets for MUP,keep split in CSV evidence ledger,expand project scan coverage for MUP sheets,run slot-isolated MUP bench tests,final_boundary_blocked_docs, | final boundary: no overclaim
PU-013,PVK_conflict_split,PVK visible in screen evidence but absent in current project pages,split_preserved,additional project sheets for PVK,keep split in CSV evidence ledger,expand project scan coverage for PVK sheets,run slot-isolated PVK bench tests,final_boundary_blocked_docs, | final boundary: no overclaim
