branch,file,function_addr,caller_addr,callee_addr,call_context,pre_call_setup,post_call_behavior,confidence,evidence_level,notes
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x4382,0x9275,direct caller envelope,see disassembly window near caller,context-dependent branch/write,medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x8F8C,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x90D1,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x8F8C,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x8F8C,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x93BC,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x92C5,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x9275,0x8F8C,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Called from 0x4374 init/service window; callee set overlaps 0x9255/0x920C neighborhood.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x6331,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x7866,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x7866,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
