branch,file,function_addr,candidate_pattern,operations,constants,loop_signature,packet_context,confidence,evidence_level,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4937,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x493D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x495D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4963,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4983,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4989,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7474,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7542,xor_add_rotate_accumulation_candidate,DJNZ,"R0,-6",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7365,xor_add_rotate_accumulation_candidate,ANL,"A,#0x7F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x74B8,xor_add_rotate_accumulation_candidate,XRL,"A,#0x04",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x76A9,xor_add_rotate_accumulation_candidate,ADD,"A,#0x40",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x76FC,xor_add_rotate_accumulation_candidate,DJNZ,"R4,-24",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4937,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x493D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x495D,xor_add_rotate_accumulation_candidate,ANL,"A,#0x0F",single-op hit in neighborhood,near packet/service candidate window,low,static_code,needs explicit buffer loop/table linkage for checksum proof
