branch,file,function_addr,analog_to,write_value,xdata_target_pattern,precondition_helper,downstream_helper,packet_followup,possible_action_role,confidence,evidence,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8405,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA496,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA496,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
A03_A04,A03_26.PZU,0x6D38,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
A03_A04,A04_28.PZU,0x6C11,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
RTOS_service,ppkp2001 90cye01.PZU,0x4A0F,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
RTOS_service,ppkp2012 a01.PZU,0x4A72,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
RTOS_service,ppkp2019 a02.PZU,0x4C89,0x597F,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
RTOS_service,ppkp2012 a01.PZU,0x8216,0x6833,unknown,,-,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x605A,0x7922,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x72BB,0x7922,unknown,0x315B,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x72BB,0x7922,unknown,0x315B,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
A03_A04,A03_26.PZU,0x9424,0x7922,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
A03_A04,A04_28.PZU,0x67EB,0x7922,unknown,,candidate,-,yes,output/action structural analog,unknown,hypothesis,0x04 write meaning remains unknown without bench evidence
