branch,file,screen_slot,module_label,function_addr,handler_role_candidate,attribution_confidence,evidence_sources,evidence_level,reason,unknowns,next_validation
90CYE_DKS,90CYE03_19_DKS.PZU,X03,MDS,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X03,MDS,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X03,MDS,0x5A7F,packet_export_bridge,probable,function_map|manual_auto_branch_map|mds_mup_module_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X03,MDS,0x5A7F,packet_export_bridge,probable,function_map|mds_mup_module_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X03,MDS,0x613C,mds_state_update,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X03,MDS,0x613C,mds_state_update,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x6833,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x6833,shared_dispatch_or_bridge,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x728A,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x728A,shared_dispatch_or_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x737C,zone_object_logic,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x737C,zone_object_logic,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
