candidate_addr,candidate_type,reason,nearby_decode,related_xdata_or_direct,writer_or_reader,possible_role,evidence_level,confidence,notes
0x54C9,config_save_candidate,Forced-entry audit shows low-XDATA write in config range,contains MOVX @DPTR,A with DPTR low (0x0001),XDATA 0x0001,writer,config_persist_or_init_stub,emulation_observed,medium,"Could participate in config load/save/default path; menu linkage not yet traced."
0x6ADA,config_clear_or_default_candidate,Forced-entry audit low-XDATA write then return,short MOVX write sequence,XDATA 0x0001,writer,default_or_clear_slot_write,hypothesis,low,"Very short path; may be helper not full editor."
0x6F5C,menu_write_config_candidate,Low-XDATA write candidate in forced-entry set,MOVX @DPTR,A near 0x6F55,XDATA 0x0001,writer,menu_committed_config_byte,hypothesis,low,"Needs call-chain from key/menu state to confirm."
0x7081,unknown_config_editor_candidate,Low-XDATA write candidate in same cluster,compact helper with MOVX write,XDATA 0x0001,writer,config_byte_update_helper,hypothesis,low,"Pattern fits write helper; role unresolved."
0x76A1,unknown_config_editor_candidate,Low-XDATA write candidate with unsupported op boundary,write to low XDATA before branch/unsupported path,XDATA 0x0001,writer,config_update_branch,hypothesis,low,"Partial trace only."
0x76E6,menu_write_config_candidate,Low-XDATA write candidate returns quickly,write helper signature similar to 6F5C,XDATA 0x0001,writer,menu_or_service_config_write,hypothesis,low,"No direct key-state linkage yet."
0x82EE,config_save_candidate,Writes low XDATA 0x0010 area and returns; could stage config pointers,short MOVX sequence in forced-entry test,XDATA 0x0010,writer,config_pointer_or_header_store,hypothesis,low,"Potential pointer/header update, not proven menu-driven."
0x55AD,output_logic_edit_candidate,Function builds action/header bytes and 8-slot vector in XDATA,writes 0x36ED..0x36FF and 0x36F2..0x36F9,XDATA 0x36ED..0x36FF,writer,runtime_output_mapping_builder,emulation_observed,medium,"Likely consumes stored config and materializes runtime vector; not confirmed direct menu writer."
0x5602,output_logic_edit_candidate,Companion entry into same write region with shifted values,similar write footprint to 0x55AD,XDATA 0x36ED..0x36FF,writer,alternate_runtime_output_mapping_builder,emulation_observed,medium,"Could represent alternate mode/path selected by config flags."
0x5717,zone_edit_candidate,Repeated writes to contiguous table-like XDATA in seeded traces,repetitive record writes with index increments,XDATA 0x31FF..0x3268,writer,record_table_materialization,hypothesis,low,"Could be generated object/zone table from persisted config."
0x5725,device_address_edit_candidate,Writes sequential values 0x01..0x23 into contiguous bytes in trace,repeated per-record low-byte assignments,XDATA 0x3201..0x3267,writer,record_index_or_address_field,hypothesis,low,"Value shape resembles address/index ranges but not confirmed as detector/module addresses."
