branch,file,function_addr,manual_role,xdata_reads,xdata_writes,xdata_branches,important_xdata_clusters,downstream_chain,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,shared_runtime_bridge,0x31BF,-,0x31BF,packet_output_context,0x497A->0x737C->0x613C->0x84A6->0x728A (adjacency evidence),confirmed,Same role as 90CYE03; identical instruction fingerprint with 90CYE03.
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,zone_object_logic,0x3010; 0x3011; 0x3012; 0x3013; 0x3014; 0x301A; 0x301B; 0x31BF,0x3010; 0x3011; 0x3012; 0x3013; 0x3014; 0x301A; 0x301B,-,packet_output_context; zone_object_state_table,static adjacency in 0x497A->0x737C->0x84A6 chain hypothesis,probable,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x613C,mds_state_update,-,-,-,unknown,near 0x497A chain; direct callee proof not present,probable,Same role as 90CYE03; identical instruction fingerprint with 90CYE03.
90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,mode_event_bridge,0x315B; 0x3181; 0x3640; 0x36D3; 0x36D9,-,0x315B,packet_output_context; runtime_mode_flags,direct call to 0x728A and direct call to 0x5A7F in selected paths,hypothesis,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x728A,mode_gate,0x30E9,0x30E9,0x30E7; 0x315B,runtime_mode_flags,0x728A->0x5A7F and 0x728A->0x6833,probable,manual decompile indicates E0/E1/E2 bit-gated branches on 0x30E7
90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,output_start_entry,-,-,0x315B,runtime_mode_flags,0x6833->0x7922->0x597F->0x5A7F->0x7DC2,probable,manual_decompile_0x728A_0x6833.md: output-start marker write XDATA[dptr]=0x04 candidate
90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,packet_export_bridge,-,-,0x315B,runtime_mode_flags,direct call adjacency from 0x728A/0x6833 paths,probable,tiny DPTR staging / pointer-like helper; high fan-in; not full packet builder by itself; packet/export role is bridge-like
90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,state_table_reader,-,-,-,unknown,direct call helper in downstream gate/output paths,probable,tiny helper; reads two bytes from @DPTR into R0/R1; no direct packet/export call inside; called from 0x728A/0x6833 paths
90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,condition_check_helper,-,-,-,unknown,direct helper call before downstream output-start write path,probable,compact helper; likely A & 0x07; result used by 0x6833 before output-start write; exact permission/fault/mode meaning unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,output_downstream_transition,-,-,-,unknown,tail transition from 0x6833 into sub-block inside parent 0x7D85,hypothesis,LJMP target from 0x6833 tail; sub-block inside parent 0x7D85; calls 0x7121 and 0x7D9B; not proven packet finalizer exclusively
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,object_status_updater,0x3104,0x3104,-,shifted_object_status,local updater path; no direct packet bridge call in-body,confirmed,Small object/status updater; possible relation to 90SAE object-status layer; no direct tag/string binding.
