branch,file,function_addr,candidate_role,score,confidence,evidence_level,callers,callees,xdata_refs,string_refs,similarity_to_dks_5A7F,notes
A03_A04,A03_26.PZU,0x4100,dispatcher_or_router,2.0,hypothesis,manual_static,,,bb_parent_hits=12,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x4176,state_reader_or_packet_builder,2.0,hypothesis,manual_static,,,bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x41D0,unknown,1.0,hypothesis,manual_static,,0x41E8,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x41E8,unknown,1.0,hypothesis,manual_static,0x41D0,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x492E,unknown,1.0,hypothesis,manual_static,,,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x4954,unknown,1.0,hypothesis,manual_static,,,bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x497A,dispatcher_or_router,3.0,hypothesis,manual_static,,,bb_parent_hits=65,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x67C3,unknown,1.0,hypothesis,manual_static,0x6425|0x645E,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x67CA,unknown,1.0,hypothesis,manual_static,0x7962,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x67D9,unknown,1.0,hypothesis,manual_static,0x726D|0x795C,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x67E8,unknown,1.0,hypothesis,manual_static,0x6777,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x680C,unknown,1.0,hypothesis,manual_static,0xAE6B,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6824,unknown,1.0,hypothesis,manual_static,0xA914,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6834,unknown,1.0,hypothesis,manual_static,0x9F6D|0xAE7B,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x683F,unknown,1.0,hypothesis,manual_static,0x64CC|0x64F2|0x874C|0x875D|0xA275|0xA286|0xA297|0xA2A8|0xA2B9|0xA2CA|0xA2DB|0xA2EC|0xA303|0xA314|0xA325|0xA336|0xA347|0xA358|0xA369|0xA37A,,call_xref_lcalls=20; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x68E6,unknown,1.0,hypothesis,manual_static,0x41FC|0x8056|0x8F1A,,call_xref_lcalls=3; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x68F9,unknown,2.0,hypothesis,manual_static,0x805F,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6913,unknown,1.0,hypothesis,manual_static,0x6549|0x66EA|0x9449|0xA90D,,call_xref_lcalls=4; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x691A,unknown,1.0,hypothesis,manual_static,0x6511|0x656D|0x6689|0x6693|0x669D|0x66A7|0x66B1|0x66BB|0x66C5|0x6750|0x6753|0x6756|0x6759|0x675C|0x675F|0x6762|0x676F|0x9F25,,call_xref_lcalls=18; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x692E,unknown,1.0,hypothesis,manual_static,0x660E|0x661F,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
