branch,file,module_type,presence_evidence,strongest_functions,analog_to_dks,confidence,evidence_level,application_notes,unknowns,next_static_step,next_external_evidence_needed
90CYE_DKS,90CYE03_19_DKS.PZU,CPU/runtime core,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,keyboard/display/menu/front panel,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,MASH,present,0x497A|0x737C|0x84A6,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,MDS,present,0x497A|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,MUP,present,0x497A|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,MVK,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,input signal board,present,0x497A,yes,probable,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,packet/export,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE03_19_DKS.PZU,unknown modules,present,0x497A|0x5A7F|0x613C|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,CPU/runtime core,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
