script,all_firmwares_supported,a03_a04_only,requires_existing_csv,produces_csv,produces_md,default_safe_to_run,notes
scripts/validate_pzu.py,true,false,false,false,false,true,Проверяет валидность Intel HEX во всех .PZU и не меняет артефакты.
scripts/firmware_manifest.py,true,false,false,true,false,true,Генерирует firmware_manifest.json плюс inventory/vector CSV.
scripts/family_matrix.py,true,false,false,true,false,true,Сравнивает попарное сходство между всеми найденными прошивками.
scripts/xdata_xref.py,true,false,false,true,false,true,Формирует несколько XDATA CSV (agg/detailed/confirmed/pointer/code-table).
scripts/disasm_8051.py,true,false,false,true,false,true,Генерирует docs/disassembly_index.csv для всех прошивок.
scripts/call_xref.py,true,false,true,true,false,true,Нужен disassembly_index.csv; пишет call_xref/call_xref_legacy/call_targets_summary.
scripts/function_map.py,true,false,true,true,false,true,Нужны disassembly/call_xref/basic_block_map/xdata_confirmed/code_table кандидаты.
scripts/basic_block_map.py,true,false,true,true,false,true,Нужны disassembly_index/call_xref/function_map; строит карту базовых блоков.
scripts/string_index.py,true,false,false,true,false,true,Индексирует строковые/табличные кандидаты по всем .PZU.
scripts/branch_comparison_report.py,true,false,true,true,true,true,Глобальный сравнительный отчёт по веткам; читает агрегированные CSV и smoke-test результаты.
scripts/a03_a04_packet_builder_candidates.py,false,true,true,true,false,true,Специализирован на A03_26.PZU и A04_28.PZU; требует базовые CSV.
scripts/extract_function_trace.py,false,true,true,true,false,true,Трассировка top packet candidates только для A03/A04.
scripts/extract_call_neighborhood.py,false,true,true,true,false,true,Извлекает call-neighborhood вокруг A03/A04 targets (depth 1/2).
scripts/extract_pipeline_chain_trace.py,false,true,true,true,false,true,Трассировка заранее заданных pipeline chains A03/A04.
scripts/find_packet_window_writers.py,false,true,true,true,false,true,Поиск writer-функций packet-window в ветке A03_A04.
scripts/find_a03_analogs_for_a04_writers.py,false,true,true,true,true,true,Строит CSV и MD по structural-analog кандидатам A03 для A04 writer-функций.
scripts/run_analysis_smoke_test.py,false,false,false,true,false,true,Оркестратор smoke-проверки; создает docs/analysis_smoke_test_results.csv.
scripts/mash_sensor_evidence_report.py,false,false,false,true,true,true,Генерирует seed-evidence CSV/MD по адресно-аналоговым датчикам МАШ из PDF; связь с прошивкой помечает как hypothesis.
scripts/dks_configuration_evidence.py,false,false,false,true,true,true,Генерирует docs/dks_real_configuration_evidence.csv и .md из вручную транскрибированных полевых фото DKS; evidence только configuration-level.
scripts/global_packet_pipeline_miner.py,true,false,true,true,true,true,Глобальный майнинг packet/runtime pipeline candidates/chains по всем веткам; не доказывает packet format.
scripts/rtos_service_pipeline_analysis.py,false,true,true,true,true,true,Branch-specific RTOS_service runtime/service pipeline analysis with confidence-capped candidates/chains/XDATA roles.
scripts/rtos_chain_deep_trace.py,false,true,true,true,true,true,Branch-specific RTOS_service deep trace for valid chain 0x4358->0x920C->0x53E6 with confidence-capped role interpretation.
scripts/mash_code_evidence_analyzer.py,true,false,true,true,true,true,global / MASH code evidence analysis
scripts/mash_handler_deep_trace.py,false,true,true,true,true,true,branch/module-specific MASH deep trace
scripts/zone_output_logic_analyzer.py,true,false,true,true,true,true,module/zone/output-control semantic analysis
scripts/zone_output_deep_trace.py,false,true,true,true,true,true,branch-specific zone/output deep trace
scripts/state_mode_logic_analyzer.py,false,true,true,true,true,true,sensor/zone state-machine and auto/manual output gating analysis
scripts/auto_manual_gating_deep_trace.py,false,true,true,true,true,true,branch-specific deep trace for manual/auto gating chain and event-vs-output split (90CYE_DKS default)
scripts/runtime_state_machine_reconstructor.py,false,true,true,true,true,true,large runtime state-machine reconstruction / 90CYE_DKS
scripts/state_enum_and_techdoc_reconstructor.py,false,true,true,true,true,true,large orchestrated state/mode enum and technical-doc reconstruction with bench matrix outputs
scripts/xdata_enum_branch_resolver.py,false,true,true,true,true,true,deep follow-up resolver for XDATA lifecycle + enum value branch mapping + manual/auto/output transition evidence
scripts/firmware_module_architecture_analyzer.py,true,false,true,true,true,true,full cross-firmware module architecture analyzer (Issue #52 follow-up); tolerates missing optional input-board artifacts with warnings
scripts/dks_module_deep_trace.py,true,false,true,true,true,true,deep-trace mapping from screen-confirmed DKS module slots to static code candidates with conservative confidence caps
scripts/manual_dks_module_decompiler.py,true,false,true,true,true,true,semi-manual DKS module follow-up; writes docs/manual_dks_module_decompile.md + docs/manual_dks_module_decompile_summary.csv + docs/manual_dks_module_pseudocode.csv
scripts/manual_dks_downstream_decompiler.py,true,false,true,true,true,true,semi-manual downstream DKS follow-up; writes docs/manual_dks_downstream_decompile.md + docs/manual_dks_downstream_decompile_summary.csv + docs/manual_dks_downstream_pseudocode.csv
scripts/dks_xdata_lifecycle_reconstructor.py,true,false,true,true,true,true,focused DKS XDATA lifecycle reconstruction; writes lifecycle analysis md + matrix/function-role/probe-plan CSV outputs
scripts/dks_enum_state_reconstructor.py,false,true,true,true,true,true,DKS enum/state reconstruction from enum/xdata branch artifacts; outputs enum matrix+transitions+report with conservative confidence.
