branch,file,function_addr,constant,constant_format,nearby_operation,possible_meaning,confidence,evidence_level,notes
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x8F8C,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x66FF,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x0F,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x03,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x06,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x67D7,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0x90D1,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
RTOS_service,ppkp2001 90cye01.PZU,0x9275,0xC0,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x00,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x604B,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0xF0,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0xE0,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x10,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7866,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x3252,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7851,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x31BF,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x5A7F,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x00,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x597F,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0xF0,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x01,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x84A6,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x74C0,hex_immediate_or_addr,window-immediate,status_mask_or_table_ptr_or_dispatch_literal,low_to_medium,static_code,pass3 window extraction; meaning remains conservative
