priority,area,branch,file,function_addr,status,final_role,confidence,evidence_level,remaining_gap,next_step,notes
P1,RS-485,90CYE_DKS,90CYE03_19_DKS.PZU,0x5A7F,completed,historical_completed_target,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P1,RS-485,RTOS_service,ppkp2001 90cye01.PZU,0x920C,completed,historical_completed_target,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P1,Delay/Interlock,90CYE_DKS,90CYE03_19_DKS.PZU,0x6833,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Valve feedback,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x673C,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Aerosol outputs,90CYE_DKS,90CYE03_19_DKS.PZU,0x7DC2,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Delay/Output-start,90CYE_DKS,90CYE03_19_DKS.PZU,0x597F,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Delay/Output-start,90CYE_DKS,90CYE03_19_DKS.PZU,0x7922,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RS-485,90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,completed,historical_completed_target,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RS-485,90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,completed,historical_completed_target,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RTOS_service,RTOS_service,ppkp2001 90cye01.PZU,0x4374,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RTOS_service,RTOS_service,ppkp2001 90cye01.PZU,0x9255,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Valve status,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x613C,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P3,Aerosol outputs,90CYE_DKS,90CYE03_19_DKS.PZU,0x84A6,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P3,Valve status,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x758B,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RTOS_service,RTOS_service,ppkp2001 90cye01.PZU,0x9275,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,Shifted status bridge,90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P3,Zone/object,90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,completed,historical_completed_target,medium,static_code,semantic mapping may require docs/bench,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RS-485,90CYE_DKS,90CYE03_19_DKS.PZU,0x55AD,completed,pointer_or_index_staging_then_bridge_readback,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
P2,RS-485,90CYE_DKS,90CYE03_19_DKS.PZU,0x5602,completed,pointer_or_index_staging_then_bridge_writeback,medium,static_code,no bench/protocol-doc closure,wait for docs/bench evidence or targeted static anchor,final boundary inventory row
