branch,address_start,address_end,cluster_tag,signal_type,confidence,notes
A03_A04,0x3292,0x329C,ui_object_state,high_freq_read_write,confirmed,"Индексы/флаги объекта и очередей изменений"
A03_A04,0x4EAB,0x5003,packet_path_window,high_freq_read_write,likely,"Окно пакетного/сервисного тракта"
A03_A04,0x7FF2,0x7FF6,upper_xdata_flags,medium_freq_read_write,likely,"Верхние служебные флаги"
90CYE_DKS,0x30EA,0x30F9,dks_runtime_block,high_freq_read_write,confirmed,"Стабильный кластер для DKS-пары 03/04"
90CYE_DKS,0x3122,0x3125,dks_snapshot_pair,high_freq_read_write,likely,"Смежный кластер состояний"
90CYE_DKS,0x360C,0x36D3,dks_service_window,high_freq_read_write,likely,"Характерная сервисная зона ветки"
90CYE_v2_1,0x315D,0x3195,v2_state_block,high_freq_read_write,confirmed,"Частые обращения к состояниям ветки v2_1"
90CYE_v2_1,0x3270,0x32D7,v2_object_window,high_freq_read_write,confirmed,"Кластер индексов/таблиц объектов"
90CYE_v2_1,0x449D,0x462D,v2_payload_window,high_freq_read_write,likely,"Окно данных/пакетных переменных"
90CYE_v2_1,0x740C,0x740F,v2_upper_markers,high_freq_read_write,likely,"Верхние XDATA-маркеры ветки"
RTOS_service,0x6406,0x6422,rtos_dispatch_core,high_freq_read_write,confirmed,"Плотные обращения в сервисном семействе"
RTOS_service,0x759C,0x75AE,rtos_service_flags,very_high_freq_read_write,confirmed,"Главный частотный кластер RTOS_service"
RTOS_service,0x769C,0x76AA,rtos_secondary_flags,high_freq_read_write,likely,"Смежный кластер флагов/таблиц"
