unknown_id,area,description,device,needed_evidence,priority,next_static_step,next_doc_step,next_bench_step
PU-001,RS-485_format,Frame format and field layout,90CYE01_02_03_04,packet captures + code parse path,high,run scripts/project_guided_rs485_analyzer.py and inspect candidate CSVs,request protocol sheets,collect synchronized serial captures
PU-002,RS-485_addresses,Address map for 90CYE01/02/03/04,90CYE01_02_03_04,protocol docs or decoded captures,high,run scripts/project_guided_rs485_analyzer.py and inspect candidate CSVs,extract addressing pages from project set,capture bus traffic with per-device isolation
PU-003,RS-485_baudrate,Configured baudrate and framing,90CYE01_02_03_04,device settings or captures,medium,run scripts/project_guided_rs485_analyzer.py and inspect candidate CSVs,locate commissioning pages,measure serial timing on bench
PU-004,CRC_checksum,CRC/checksum algorithm details,90CYE01_02_03_04,frame bytes + code confirmation,high,run scripts/project_guided_rs485_analyzer.py and inspect candidate CSVs,find protocol appendix,capture valid/invalid frame behavior
PU-005,timeout_retry,Retry and timeout policy,90CYE01_02_03_04,code path + runtime capture,medium,run scripts/project_guided_rs485_analyzer.py and inspect candidate CSVs,find operational timing notes,bus fault injection tests
PU-006,numeric_enum_codes,Numeric enum values for state terms,all,static constants + runtime correlation,high,run scripts/project_guided_enum_delay_interlock_analyzer.py and review enum/delay/mode candidates,locate enum tables in docs,map HMI states to memory bytes
PU-007,launch_line_supervision,Launch-line resistance/open/short supervision,90CYE03_90CYE04,bench + code + electrical docs,high,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,request electrical supervision section,inject open/short simulations safely
PU-008,line_break_short_supervision,Line break/short supervision for CP/CF/CH and control lines,90CYE01_02_03_04,bench + wiring tables,medium,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,extract full line monitoring sheets,simulate line faults with dummy loads
PU-009,launch_pulse_parameters,Exact launch pulse duration/form,90CYE03_90CYE04,timing captures and code constants,high,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,extract launch timing requirements,scope launch output with safe simulator
PU-010,damper_terminal_table,Full damper terminal map,90CYE02,complete project terminal sheets,medium,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,extract full terminal scans,validate with wiring continuity test
PU-011,goa_terminal_table,Full GOA terminal map,90CYE03_90CYE04,complete project terminal sheets,medium,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,extract GOA cabinet sheets,bench trace output to terminal mapping
PU-012,MUP_conflict_split,MUP visible in screen evidence but absent in current project pages,DKS,combined evidence governance,medium,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,expand project scan coverage for MUP sheets,run slot-isolated MUP bench tests
PU-013,PVK_conflict_split,PVK visible in screen evidence but absent in current project pages,DKS,combined evidence governance,medium,run scripts/project_guided_mds_mvk_valve_output_analyzer.py and review evidence-split outputs,expand project scan coverage for PVK sheets,run slot-isolated PVK bench tests
