branch,file,xdata_addr,cluster,access_type,functions,known_writers,known_readers,branch_users,downstream_functions,packet_export_adjacency,current_role,confidence,evidence_level,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x3010,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x3011,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x3012,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x3013,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x3014,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x301A,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x301B,zone_object_state_table,read_write,0x737C,0x737C,0x737C,-,0x737C,0x737C->0x5A7F chain adjacency,zone/object state field candidate,probable,manual_decompile,"enum-like values near 0x737C: 0x03, 0x07; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07"
90CYE_DKS,90CYE03_19_DKS.PZU,0x315B,runtime_mode_flags,read,0x5A7F; 0x6833; 0x728A; 0x84A6,-,0x84A6,0x5A7F; 0x6833; 0x728A; 0x84A6,0x5A7F; 0x6833; 0x84A6,manual_auto_branch_map,runtime/mode gate flag candidate,probable,manual_decompile,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x3181,runtime_mode_flags,read,0x84A6,-,0x84A6,-,0x84A6,-,runtime/mode gate flag candidate,probable,manual_decompile,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x30E7,runtime_mode_flags,unknown,0x728A,-,-,0x728A,-,-,runtime/mode gate flag candidate,hypothesis,unknown,0x728A checks E0/E1/E2 bits and updates this byte in selected paths
90CYE_DKS,90CYE03_19_DKS.PZU,0x30E9,runtime_mode_flags,read_write,0x728A,0x728A,0x728A,-,-,-,runtime/mode gate flag candidate,low,direct_static,0x30E9 appears in 0x728A branch side-path storage
90CYE_DKS,90CYE03_19_DKS.PZU,0x30EA..0x30F9,runtime_mode_flags,unknown,-,-,-,-,-,-,runtime/mode gate flag candidate,hypothesis,unknown,-
90CYE_DKS,90CYE03_19_DKS.PZU,0x31BF,packet_output_context,read,0x497A; 0x737C,-,0x497A; 0x737C,0x497A,0x497A; 0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,Generic runtime state dispatcher with packet-export adjacency; not exclusively MDS or MUP.; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x3165,packet_output_context,unknown,-,-,-,-,-,-,packet/output context candidate,hypothesis,unknown,-
90CYE_DKS,90CYE03_19_DKS.PZU,0x3640,packet_output_context,read,0x84A6,-,0x84A6,-,0x84A6,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x364B,packet_output_context,indirect_context,0x5A7F; 0x6833; 0x728A,-,-,-,0x5A7F; 0x6833; 0x728A,packet/export context neighbor,packet/output context candidate,low,chain_adjacency,manual decompile places 0x364B near 0x728A/0x6833/0x5A7F transition
90CYE_DKS,90CYE03_19_DKS.PZU,0x36D3,packet_output_context,read,0x737C; 0x84A6,-,0x84A6,-,0x737C; 0x84A6,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown; reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36D9,packet_output_context,read,0x84A6,-,0x84A6,-,0x84A6,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads 0x315B/0x3181/0x3640/0x36D3/0x36D9; calls 0x728A and 0x5A7F; possible manual/auto bridge but physical semantics unknown
90CYE_DKS,90CYE03_19_DKS.PZU,0x36EC,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36EE,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36EF,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36F2,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36F3,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36F4,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36FC,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_DKS,90CYE03_19_DKS.PZU,0x36FD,packet_output_context,indirect_context,0x737C,-,-,-,0x737C,packet/export context neighbor,packet/output context candidate,probable,manual_decompile,reads/writes 0x3010/0x3011/0x3012/0x3013/0x3014/0x301A/0x301B; reads 0x31BF and 0x36xx cluster; calls 0x84A6 and 0x5A7F; enum-like evidence 0x03/0x07
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x3104,shifted_object_status,read_write,0x673C,0x673C,0x673C,-,0x673C,-,shifted object-status byte candidate,low,chain_adjacency,Small object/status updater; possible relation to 90SAE object-status layer; no direct tag/string binding.
