device,firmware_file,project_output_function,candidate_addr_or_range,candidate_kind,code_or_xdata_evidence,observed_values,linked_project_evidence,confidence,evidence_level,notes
90CYE03,90CYE03_19_DKS.PZU,GOA_start_pulse_and_output_fanout,0x36F2..0x36F9,xdata_8_slot_vector,"Emulation traces from 0x55AD/0x5602 show sequential writes across 8 addresses.","0x0F..0x16 and 0x10..0x17",project aerosol start chain with delay and mode gating,medium,project_documentation+emulation_observed,"Consistent with internal 8-slot action/output structure; not a proven physical relay map."
90CYE04,90CYE04_19_DKS.PZU,GOA_start_pulse_and_output_fanout,0x36F2..0x36F9,xdata_8_slot_vector,"Static/emulation patterns reused from DKS pair with no key diff vs 90CYE03 in compared blocks.","same pattern family expected in matching DKS pair",project linkage says same aerosol role unless project-specific difference found,medium,project_documentation+static_code,"Evidence inherits from matched DKS block equality; direct 90CYE04 trace not yet captured."
90CYE03,90CYE03_19_DKS.PZU,event_header_for_output_dispatch,0x36ED..0x36F1,xdata_header_fields,"Written before 0x36F2..0x36F9 vector fill in compact runs.","36ED=00/01;36F0=08/09;36F1=01/02",project_documented fire-triggered aerosol chain,low,project_documentation+emulation_observed,"Header semantics unresolved; could be event/object metadata."
90CYE03,90CYE03_19_DKS.PZU,output_vector_bounds_or_status,0x36FB..0x36FF,xdata_trailer_fields,"Adjacent writes near 8-slot vector setup.","36FF=07;36FB=01;36FC=00;36FD=00",project_documented multi-stage output handling in aerosol panel,low,project_documentation+emulation_observed,"Use only as candidate boundary/status bytes; no channel identity claim."
90CYE03,90CYE03_19_DKS.PZU,bit_selection_helper_for_multi_output_logic,0x5984..0x598B,code_table_8bit_mask,"Exact bitmask ramp table referenced by 0x5935/0x597F path.","01 02 04 08 10 20 40 80",project evidence of multi-output warning/launch behavior,medium,project_documentation+static_code,"Supports 8-bit selector concept; does not prove terminal-level mapping."
90CYE02,90CYE02_27 DKS.PZU,damper_control_configuration_difference,0x5984..0x598B,code_table_variant,"Diff vs 90CYE03/04 at same range in pzu diff summary.","FF 4D 6F E3 79 BB B8 FF",project role is damper control not aerosol launch,medium,project_documentation+static_code,"Difference is consistent_with_output_configuration_difference between device roles."
90CYE03,90CYE03_19_DKS.PZU,output_action_runtime_block,0x55AD..0x56DF,code_runtime_block,"Contains writers into 0x36ED..0x36FF and 0x36F2..0x36F9.","block active in compact function traces",project chain includes fire->delay->launch/warnings,medium,project_documentation+emulation_observed,"Conservative: runtime action staging block candidate."
90CYE02,90CYE02_27 DKS.PZU,damper_runtime_block_variant,0x55AD..0x56DF,code_runtime_block_variant,"Entire block differs from 90CYE03_19_DKS.","307/307 bytes differ",project role diverges (damper vs aerosol),medium,project_documentation+static_code,"Role-aligned divergence, but no direct physical output count proof by itself."
90CYE03,90CYE03_19_DKS.PZU,runtime_hub_table_reader,0x5935..0x59AF,code_runtime_hub,"References include 0x5935/0x597F/0x5A7F neighborhood.","active reads; no forced-entry xdata writes",project depends on mode and delayed start logic,medium,project_documentation+static_code,"Likely dispatch/helper hub affecting output configuration logic."
90CYE02,90CYE02_27 DKS.PZU,runtime_hub_variant_by_project_role,0x5935..0x59AF,code_runtime_hub_variant,"Full diff vs aerosol firmware in same range.","123/123 bytes differ",project says 90CYE02 handles dampers and limit switches,medium,project_documentation+static_code,"Consistent with different action family; not enough for channel counts."
90CYE03,90CYE03_19_DKS.PZU,output_start_transition_chain,0x6833,function_entry_candidate,"Static chain ties 0x6833 marker behavior with downstream 0x7DC2.","marker-like value writes cited in static boundary docs",project start-delay-launch chain,medium,project_documentation+static_code,"Good chain anchor; compact emulation hit unsupported opcode before deep confirmation."
90CYE03,90CYE03_19_DKS.PZU,output_transition_downstream,0x7DC2,downstream_transition_function,"Appears in project-guided start chain with limited emulation depth.","no stable xdata write in compact trace due unsupported path",project launch transition semantics,low,project_documentation+static_code,"Downstream role plausible but still partially blocked by emulator opcode coverage."
90CYE03,90CYE03_19_DKS.PZU,auto_manual_mode_gate,0x84A6,mode_gate_function,"Used in project-guided mode/interlock chain with 0x728A.","compact entry showed no xdata write",project docs confirm auto/manual modes and door-open auto disable,medium,project_documentation+static_code,"Mode-gating semantics are project anchored; variable mapping unresolved."
90CYE03,90CYE03_19_DKS.PZU,door_interlock_auto_disable_gate,0x728A,interlock_gate_function,"Static analysis links door-open auto-disable chain.","no direct compact xdata write captured",project docs explicitly mention door_open_auto_disable,medium,project_documentation+static_code,"Gate role supported, but polarity/channel unresolved."
90CYE03,90CYE03_19_DKS.PZU,packet_or_event_bridge_in_output_chain,0x5A7F,high_fanin_bridge_function,"High-fan-in bridge with repeated caller staging from 0x55AD/0x5602/others.","no direct forced-entry writes; caller-context dependent",project docs: fire export and cross-device behavior,medium,project_documentation+static_code,"Internal bridge evidence exists without RS-485 byte-level decode."
90CYE01,ppkp2001 90cye01.PZU,MVK_any_zone_fire_output_candidate_chain,0x6833|0x7DC2,function_chain_candidate,"Linked in project_to_firmware_linkage as possible any-zone-fire chain.","no direct 90CYE01 emulation artifact in current batch",project documentation confirms MVK-2.1 any-zone-fire output,low,project_documentation+hypothesis,"Address linkage currently borrowed from DKS family evidence; keep conservative."
