unknown_id,area,latest_status,static_boundary,blocked_by,next_doc_step,next_bench_step,next_static_step,notes
PU-001,RS-485_format,pass3_still_unresolved,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,seek protocol field-order appendix,capture frame bytes vs event transitions,only rerun with new anchored evidence,expanded 0x5A7F caller block rows including fixed caller set
PU-002,RS-485_addresses,pass3_partial_table_origin_narrowing,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,collect address map pages,device-isolated bus address capture,only rerun with new anchored evidence,0x9275 caller envelope tied to 0x4374/0x920C/0x9255 neighborhood
PU-003,RS-485_baudrate,pass3_no_baud_proof,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,commissioning serial settings,measure line timing,only rerun with new anchored evidence,global UART token scan executed; low-confidence hits only
PU-004,CRC_checksum,pass3_candidate_loops_only,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,protocol checksum notes,invalid-checksum behavior test,only rerun with new anchored evidence,xor/add/rotate op scan near packet/service neighborhoods
PU-005,timeout_retry,unchanged,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,find operational timing notes,bus fault injection tests,only rerun with new anchored evidence,
PU-006,numeric_enum_codes,pass3_partial_compare_extension,narrowed_without_claiming_runtime_confirmation,blocked_until_docs,project enum/state tables,runtime correlation capture,only rerun with new anchored evidence,0x73FD caller-envelope constants and enum map proximity extracted
PU-007,launch_line_supervision,unchanged,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,request electrical supervision section,inject open/short simulations safely,only rerun with new anchored evidence,
PU-008,line_break_short_supervision,unchanged,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,extract full line monitoring sheets,simulate line faults with dummy loads,only rerun with new anchored evidence,
PU-009,launch_pulse_parameters,pass3_timer_downstream_candidates_added,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,launch timing requirements,scope pulse width,only rerun with new anchored evidence,downstream candidates from 0x728A/0x7DC2/0x84A6 path trace
PU-010,damper_terminal_table,pass3_shifted_status_branch_extended,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,terminal/object cross-table,limit-switch channel probes,only rerun with new anchored evidence,0x7773 focused branch envelope with 0x32B3 neighborhood extraction
PU-011,goa_terminal_table,pass3_write_target_class_expanded,narrowed_without_claiming_runtime_confirmation,blocked_until_docs+blocked_until_bench,output naming/terminal docs,terminal-level output tracing,only rerun with new anchored evidence,0x73FD + 0x5A7F caller-block expansion captured
PU-012,MUP_conflict_split,unchanged,narrowed_without_claiming_runtime_confirmation,blocked_until_docs,expand project scan coverage for MUP sheets,run slot-isolated MUP bench tests,only rerun with new anchored evidence,
PU-013,PVK_conflict_split,unchanged,narrowed_without_claiming_runtime_confirmation,blocked_until_docs,expand project scan coverage for PVK sheets,run slot-isolated PVK bench tests,only rerun with new anchored evidence,
