search_term,encoding_guess,match_type,code_addr_or_offset,raw_bytes_hex,decoded_candidate,confidence,evidence_level,notes
УСТАНОВКА,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
УСТАНОВКА,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
УСТАНОВКА,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
Автоопред,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
Автоопред,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
Автоопред,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТООПРЕД,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТООПРЕД,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТООПРЕД,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
