reference_file,target_file,reference_function,target_function,match_type,confidence,evidence_level,notes
90CYE03_19_DKS.PZU,ppkp2001 90cye01.PZU,0x597F,0x4A0F,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2012 a01.PZU,0x597F,0x4A72,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2019 a02.PZU,0x597F,0x4C89,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2001 90cye01.PZU,0x5A7F,0x4A0F,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2012 a01.PZU,0x5A7F,0x4A72,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2019 a02.PZU,0x5A7F,0x4C89,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2012 a01.PZU,0x6833,0x8216,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2001 90cye01.PZU,0x728A,0x9A24,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2012 a01.PZU,0x728A,0xA0EF,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2019 a02.PZU,0x728A,0x9F7F,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
90CYE03_19_DKS.PZU,ppkp2019 a02.PZU,0x737C,0x439D,hypothesis,unknown,hypothesis,RTOS_service analog candidate; no direct semantic equivalence claim
