scenario,function_addr,steps,stop_reason,xdata_addr,write_count,first_write_pc,last_write_pc,values_seen,near_watchpoint,possible_role,evidence_level,confidence,notes
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36F2,1,0x56B0,0x56B0,0x0F,yes,output_side_candidate,emulation_observed,medium,"Part of sequential 8-slot write burst 0x36F2..0x36F9."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36F3,1,0x56B5,0x56B5,0x10,yes,output_side_candidate,emulation_observed,medium,"Adjacent staged value in same burst."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36F4,1,0x56BF,0x56BF,0x12,yes,output_side_candidate,emulation_observed,medium,"Sequential fill pattern continues."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36F5,1,0x56BA,0x56BA,0x11,yes,output_side_candidate,emulation_observed,medium,"Likely same action vector family."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36F6..0x36F9,4,0x56C4,0x56D3,"0x13,0x14,0x15,0x16",yes,output_side_candidate,emulation_observed,medium,"Range compressed in report; per-address writes observed once each."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36FF,1,0x56AB,0x56AB,0x07,yes,event_state_candidate,emulation_observed,low,"Could be boundary/index for 8-entry region."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x36ED..0x36F1,4,0x55DC,0x5676,"0x00,0x01,0x08",yes,event_state_candidate,emulation_observed,low,"Header-like fields before vector fill; semantics unresolved."
single_90CYE03_19_DKS,0x5602,1200,max_steps,0x36F2..0x36F9,8,0x56B0,0x56D3,"0x10..0x17",yes,output_side_candidate,emulation_observed,medium,"Same write pattern as 0x55AD with +1 offset in values."
single_90CYE03_19_DKS,0x5602,1200,max_steps,0x36ED,1,0x5615,0x5615,0x01,yes,event_state_candidate,emulation_observed,low,"Differs from 0x55AD run (0x00), suggests context-dependent state."
single_90CYE03_19_DKS,0x5602,1200,max_steps,0x36FF,1,0x56AB,0x56AB,0x07,yes,event_state_candidate,emulation_observed,low,"Same boundary/index candidate as 0x55AD run."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x31BF,1,0x676D,0x676D,0x08,yes,unknown,emulation_observed,low,"Write occurs through downstream call chain; global control flag candidate."
single_90CYE03_19_DKS,0x55AD,1200,max_steps,0x30EE,1,0x6784,0x6784,0x00,yes,unknown,emulation_observed,low,"Near requested watch range 0x30EA..0x30F9; role unresolved."
single_90CYE03_19_DKS,0x5935,1200,ret_from_entry,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"No XDATA writes seen in compact forced-entry trace."
single_90CYE03_19_DKS,0x597F,1200,ret_from_entry,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"No XDATA writes seen in compact forced-entry trace."
single_90CYE03_19_DKS,0x5A7F,1200,ret_from_entry,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"No XDATA writes seen in compact forced-entry trace."
single_90CYE03_19_DKS,0x6833,1200,unsupported_opcode_0x59_at_0x683E,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"Trace stops early on unsupported opcode; cannot exclude downstream writes."
single_90CYE03_19_DKS,0x7DC2,1200,unsupported_opcode_0xC0_at_0x7121,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"Immediate unsupported path prevents deeper coverage."
single_90CYE03_19_DKS,0x84A6,1200,ret_from_entry,none,0,n/a,n/a,n/a,yes,unknown,emulation_observed,low,"No XDATA writes in this compact entry trace."
