branch,file,screen_name,device_version,slot,module_label,label_confidence,screen_presence_confidence,strongest_function_candidates,strongest_candidate_roles,function_resolution_status,confidence,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X03,MDS,confirmed_from_screen,confirmed,"0x673C, 0x497F, 0x604B","mds_event_generation, mds_event_generation, mds_state_update",strong_candidate,confirmed,screen evidence and handler candidates are separated; conservative labels only
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X04,MDS,confirmed_from_screen,confirmed,"0x673C, 0x497F, 0x604B","mds_event_generation, mds_event_generation, mds_state_update",strong_candidate,confirmed,screen evidence and handler candidates are separated; conservative labels only
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X05,MDS,probable_from_screen,probable,"0x673C, 0x497F, 0x604B","mds_event_generation, mds_event_generation, mds_state_update",strong_candidate,confirmed,screen evidence and handler candidates are separated; conservative labels only
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,hypothesis,"0x673C, 0x497F, 0x8A42","unknown_module_state_update, unknown_module_dispatcher, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,hypothesis,"0x673C, 0x497F, 0x8A42","unknown_module_state_update, unknown_module_dispatcher, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,hypothesis,"0x673C, 0x497F, 0x8A42","unknown_module_state_update, unknown_module_dispatcher, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,confirmed,"0x497A, 0x613C, 0x5A7F","mds_event_generation, mds_event_generation, mds_event_generation",strong_candidate,confirmed,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,hypothesis,"0x497A, 0x613C, 0x84A6","unknown_module_dispatcher, unknown_module_state_update, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,hypothesis,"0x497A, 0x613C, 0x84A6","unknown_module_dispatcher, unknown_module_state_update, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,confirmed,"0x497A, 0x613C, 0x5A7F","mup_feedback_check, mup_feedback_check, packet_export_bridge",strong_candidate,probable,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,confirmed,"0x497A, 0x613C, 0x84A6","pvk_unknown_dispatcher, pvk_state_or_feedback, pvk_unknown_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE04_19_DKS.PZU,90CYE04,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,confirmed,"0x497A, 0x613C, 0x5A7F","mds_event_generation, mds_event_generation, mds_state_update",strong_candidate,confirmed,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE04_19_DKS.PZU,90CYE04,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,hypothesis,"0x497A, 0x613C, 0x737C","unknown_module_dispatcher, unknown_module_state_update, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
90CYE_DKS,90CYE04_19_DKS.PZU,90CYE04,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,hypothesis,"0x497A, 0x613C, 0x737C","unknown_module_dispatcher, unknown_module_state_update, unknown_module_dispatcher",weak_candidate,hypothesis,screen evidence and handler candidates are separated; conservative labels only
