firmware_a,firmware_b,range_or_addr,diff_type,bytes_a,bytes_b,referenced_by_functions,possible_role,evidence_level,confidence,notes
90CYE02_27 DKS.PZU,90CYE03_19_DKS.PZU,0x5984..0x598B,table_content_diff,"FF 4D 6F E3 79 BB B8 FF","01 02 04 08 10 20 40 80","0x5935;0x597F;0x5A7F neighborhood","bitmask_helper_table_candidate",static_code,medium,"Strong candidate for behavioral divergence in output bit selection helpers."
90CYE03_19_DKS.PZU,90CYE04_19_DKS.PZU,0x5984..0x598B,no_diff,"01 02 04 08 10 20 40 80","01 02 04 08 10 20 40 80","0x5935;0x597F","shared helper table",static_code,high,"No divergence in this candidate table between these two DKS images."
90CYE02_27 DKS.PZU,90CYE03_19_DKS.PZU,0x55AD..0x56DF,code_block_diff,"307/307 bytes differ","reference image differs fully","0x55AD;0x5602","runtime output/action logic block candidate",static_code,medium,"Entire block differs; requires decompile/trace alignment for semantics."
90CYE03_19_DKS.PZU,90CYE04_19_DKS.PZU,0x55AD..0x56DF,no_diff,"0 bytes differ","0 bytes differ","0x55AD;0x5602","shared runtime block",static_code,high,"These two images likely share same output-side runtime routine here."
90CYE02_27 DKS.PZU,90CYE03_19_DKS.PZU,0x5935..0x59AF,code_block_diff,"123/123 bytes differ","reference image differs fully","0x5935;0x597F;0x5A7F","runtime hub / table reader candidate",static_code,medium,"Hub-level divergence aligns with configuration/control-flow difference hypothesis."
90CYE03_19_DKS.PZU,90CYE04_19_DKS.PZU,0x5935..0x59AF,no_diff,"0 bytes differ","0 bytes differ","0x5935;0x597F;0x5A7F","shared runtime hub block",static_code,high,"No diff in compared DKS pair for this hub region."
90CYE02_27 DKS.PZU,90CYE03_19_DKS.PZU,0x0000..0x03FF,no_diff,"0 bytes differ","0 bytes differ","0x4100 boot loop context (indirect)","boot/config seed area candidate",static_code,low,"No image-level evidence here for 1-relay vs 8-output split."
90CYE03_19_DKS.PZU,90CYE04_19_DKS.PZU,0x0000..0x03FF,no_diff,"0 bytes differ","0 bytes differ","0x4100 boot loop context (indirect)","boot/config seed area candidate",static_code,low,"No diff in compared DKS pair."
90CYE03_19_DKS.PZU,90CYE03_19_2 v2_1.PZU,0x55AD..0x56DF,image_layout_or_family_diff,"306/307 bytes differ; FF-heavy in _2 image","dense code in DKS image","0x55AD;0x5602","unknown (possible different branch/build layout)",static_code,low,"_2 v2_1 image appears non-comparable at these absolute addresses (FF-heavy)."
90CYE04_19_DKS.PZU,90CYE04_19_2 v2_1.PZU,0x5935..0x59AF,image_layout_or_family_diff,"123/123 bytes differ; FF-heavy in _2 image","dense code in DKS image","0x5935;0x597F","unknown (possible different branch/build layout)",static_code,low,"Treat as non-aligned unless rebased mapping is established."
90CYE02_27 DKS.PZU,90CYE04_19_DKS.PZU,0x5984..0x598B,table_content_diff,"FF 4D 6F E3 79 BB B8 FF","01 02 04 08 10 20 40 80","0x5935;0x597F;0x5A7F neighborhood","project-guided output selector divergence",project_documentation+static_code,medium,"Consistent_with_output_configuration_difference across project roles (damper vs aerosol class)."
90CYE02_27 DKS.PZU,90CYE04_19_DKS.PZU,0x55AD..0x56DF,code_block_diff,"307/307 bytes differ","0x55AD..0x56DF DKS aerosol block","0x55AD;0x5602","project-guided output/action runtime block divergence",project_documentation+static_code,medium,"Role-aligned divergence; exact per-channel mapping remains unknown."
90CYE02_27 DKS.PZU,90CYE04_19_DKS.PZU,0x5935..0x59AF,code_block_diff,"123/123 bytes differ","0x5935..0x59AF DKS aerosol hub block","0x5935;0x597F;0x5A7F","project-guided runtime-hub divergence",project_documentation+static_code,medium,"Supports firmware/config fanout hypothesis with conservative boundaries."
