branch,file,screen_name,device_version,slot,module_label,label_confidence,function_addr,candidate_role,module_presence_confidence,function_candidate_confidence,evidence_level,evidence_sources,xdata_refs,calls_in,calls_out,call_targets,packet_export_path,related_known_chain,score,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X03,MDS,confirmed_from_screen,0x673C,mds_event_generation,confirmed,confirmed,code_direct,function_map|mds_mup_module_candidates|output_control_candidates,77,1,0,,possible,,0.862,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X03,MDS,confirmed_from_screen,0x497F,mds_event_generation,confirmed,confirmed,code_direct,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|mds_mup_module_candidates|output_control_candidates,17,0,0,,possible,,0.860,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X03,MDS,confirmed_from_screen,0x604B,mds_state_update,confirmed,hypothesis,code_indirect,function_map|mds_mup_module_candidates,0,40,0,,unknown,,0.492,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X04,MDS,confirmed_from_screen,0x673C,mds_event_generation,confirmed,confirmed,code_direct,function_map|mds_mup_module_candidates|output_control_candidates,77,1,0,,possible,,0.862,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X04,MDS,confirmed_from_screen,0x497F,mds_event_generation,confirmed,confirmed,code_direct,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|mds_mup_module_candidates|output_control_candidates,17,0,0,,possible,,0.860,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X04,MDS,confirmed_from_screen,0x604B,mds_state_update,confirmed,hypothesis,code_indirect,function_map|mds_mup_module_candidates,0,40,0,,unknown,,0.492,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X05,MDS,probable_from_screen,0x673C,mds_event_generation,probable,confirmed,code_direct,function_map|mds_mup_module_candidates|output_control_candidates,77,1,0,,possible,,0.862,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X05,MDS,probable_from_screen,0x497F,mds_event_generation,probable,confirmed,code_direct,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|mds_mup_module_candidates|output_control_candidates,17,0,0,,possible,,0.860,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X05,MDS,probable_from_screen,0x604B,mds_state_update,probable,hypothesis,code_indirect,function_map|mds_mup_module_candidates,0,40,0,,unknown,,0.492,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x673C,unknown_module_state_update,hypothesis,hypothesis,code_indirect,function_map|output_control_candidates,77,1,0,,possible,,0.370,screen-level module presence is separate from function candidate confidence
